rm -r thrasher sampler
g++ -o thrasher local.cpp -I. -DTHRASHER
g++ -o sampler local.cpp -I. -DSAMPLER
g++ -o frequencer local.cpp -I. 
Cache line size: 64 B
Found an address that falls on two cache lines: 0x5617c8597efe
samples:(20), locked:11, and result:1
samples:(21), locked:9, and result:0
samples:(20), locked:14, and result:1
samples:(26), locked:9, and result:0
samples:(45), locked:25, and result:1
samples:(47), locked:29, and result:1
samples:(51), locked:33, and result:1
samples:(22), locked:9, and result:0
samples:(20), locked:10, and result:1
samples:(19), locked:10, and result:1
samples:(20), locked:7, and result:0
samples:(30), locked:15, and result:1
samples:(51), locked:30, and result:1
samples:(56), locked:38, and result:1
samples:(45), locked:18, and result:0
samples:(42), locked:26, and result:1
samples:(21), locked:8, and result:0
samples:(20), locked:8, and result:0
samples:(34), locked:17, and result:1
samples:(51), locked:30, and result:1
samples:(59), locked:28, and result:0
samples:(48), locked:31, and result:1
samples:(48), locked:20, and result:0
samples:(56), locked:31, and result:1
samples:(21), locked:15, and result:1
samples:(20), locked:10, and result:1
samples:(19), locked:13, and result:1
samples:(51), locked:33, and result:1
samples:(40), locked:26, and result:1
samples:(64), locked:44, and result:1
samples:(46), locked:31, and result:1
samples:(32), locked:22, and result:1
samples:(20), locked:13, and result:1
samples:(19), locked:10, and result:1
samples:(18), locked:8, and result:0
samples:(37), locked:19, and result:1
samples:(46), locked:33, and result:1
samples:(55), locked:33, and result:1
samples:(51), locked:30, and result:1
samples:(18), locked:10, and result:1
samples:(21), locked:10, and result:0
samples:(20), locked:10, and result:1
samples:(36), locked:18, and result:1
samples:(57), locked:31, and result:1
samples:(41), locked:20, and result:0
samples:(52), locked:35, and result:1
samples:(26), locked:17, and result:1
samples:(20), locked:10, and result:1
samples:(19), locked:9, and result:0
samples:(21), locked:8, and result:0
samples:(41), locked:23, and result:1
samples:(52), locked:26, and result:1
samples:(55), locked:30, and result:1
samples:(37), locked:24, and result:1
samples:(19), locked:6, and result:0
samples:(21), locked:8, and result:0
samples:(31), locked:15, and result:0
samples:(40), locked:23, and result:1
samples:(44), locked:31, and result:1
samples:(57), locked:43, and result:1
samples:(52), locked:28, and result:1
samples:(25), locked:13, and result:1
samples:(20), locked:9, and result:0
samples:(20), locked:10, and result:1
samples:(20), locked:8, and result:0
samples:(49), locked:28, and result:1
samples:(47), locked:33, and result:1
samples:(63), locked:35, and result:1
samples:(41), locked:23, and result:1
samples:(19), locked:9, and result:0
samples:(21), locked:8, and result:0
samples:(20), locked:10, and result:1
samples:(24), locked:8, and result:0
samples:(45), locked:23, and result:1
samples:(51), locked:33, and result:1
samples:(42), locked:28, and result:1
samples:(40), locked:23, and result:1
samples:(19), locked:7, and result:0
samples:(20), locked:9, and result:0
samples:(19), locked:10, and result:1
samples:(51), locked:22, and result:0
samples:(39), locked:24, and result:1
samples:(53), locked:32, and result:1
samples:(41), locked:28, and result:1
samples:(21), locked:14, and result:1
samples:(20), locked:8, and result:0
samples:(20), locked:13, and result:1
samples:(43), locked:21, and result:0
samples:(53), locked:30, and result:1
samples:(52), locked:33, and result:1
samples:(52), locked:33, and result:1
samples:(21), locked:5, and result:0
samples:(19), locked:7, and result:0
samples:(20), locked:9, and result:0
samples:(42), locked:25, and result:1
samples:(41), locked:24, and result:1
samples:(49), locked:25, and result:1
samples:(43), locked:18, and result:0
samples:(53), locked:23, and result:0
samples:(19), locked:10, and result:1
samples:(20), locked:11, and result:1
samples:(26), locked:13, and result:1
samples:(55), locked:37, and result:1
samples:(46), locked:28, and result:1
samples:(50), locked:26, and result:1
samples:(44), locked:28, and result:1
samples:(31), locked:16, and result:1
samples:(19), locked:14, and result:1
samples:(20), locked:13, and result:1
samples:(55), locked:27, and result:0
samples:(44), locked:25, and result:1
samples:(58), locked:36, and result:1
samples:(49), locked:23, and result:0
samples:(20), locked:10, and result:1
samples:(20), locked:12, and result:1
samples:(21), locked:7, and result:0
samples:(26), locked:11, and result:0
samples:(43), locked:31, and result:1
samples:(53), locked:26, and result:0
samples:(38), locked:23, and result:1
samples:(20), locked:8, and result:0
samples:(21), locked:9, and result:0
samples:(44), locked:22, and result:1
samples:(43), locked:25, and result:1
samples:(52), locked:26, and result:1
samples:(55), locked:34, and result:1
samples:(47), locked:22, and result:0
samples:(34), locked:10, and result:0
samples:(20), locked:8, and result:0
